objectid,ttwa11cd,ttwa11nm,st_areashape,st_lengthshape
88,E30000230,Leicester,1712249173.16695,240278.114220503
89,E30000231,Lincoln,2228279009.93164,353941.27167866
90,E30000232,Liskeard,525027829.928266,137221.240664245
92,E30000234,London,2187556969.53308,426352.418468051
93,E30000235,Lowestoft,562649989.068466,137853.460459009
94,E30000236,Ludlow,1376839948.19321,239185.165744958
95,E30000237,Luton,761848003.849637,160509.152929089
96,E30000238,Malton,1402359505.2163,208539.568198009
97,E30000239,Manchester,1840714540.90426,262199.329540084
98,E30000240,Mansfield,624757366.363396,159366.738212381
99,E30000241,Margate and Ramsgate,219607006.020366,112060.712240725
100,E30000242,Medway,971168211.811174,282013.699855037
101,E30000243,Milton Keynes,996255153.361913,216000.593443146
102,E30000244,Newbury,951045107.968779,179386.283824025
103,E30000245,Newcastle,1268956490.64712,282792.726764529
104,E30000246,Northallerton,2137644410.01936,292209.091232904
105,E30000247,Northampton,924744494.047496,220983.714595859
106,E30000248,Norwich,2102853644.04368,329769.309372474
108,E30000250,Oxford,2144723695.29113,283958.531258972
109,E30000252,Penzance,276994937.628899,123063.11350104
110,E30000253,Plymouth,981555526.257546,235183.589275249
111,E30000254,Portsmouth,516193383.421824,216501.848085916
112,E30000255,Preston,938296006.490025,239998.299551732
113,E30000256,Reading,776520242.580577,163311.538657083
114,E30000257,Redruth and Truro,501054952.305604,149105.111138361
117,E30000260,Scunthorpe,848771258.357316,182969.953937992
118,E30000261,Sheffield,752202925.10456,175741.036064326
119,E30000262,Shrewsbury,1156496263.61837,234293.916105245
120,E30000263,Sidmouth,342406352.597004,117143.056037843
121,E30000264,Skegness and Louth,1114862669.50599,197848.770774593
122,E30000266,Slough and Heathrow,712405784.25439,161332.129378
123,E30000267,Southampton,1378939585.57045,307055.649880985
124,E30000268,Southend,438857019.32196,200083.091939883
